nombre,tipo,zona,precio
187 New Flash (50 g),tabaco-liar,nacional,4.55
187 Pink Mellow (200 g),tabaco-liar,nacional,17.5
187 Pink Mellow (50 g),tabaco-liar,nacional,4.55
187 Purple Drank (200 g),tabaco-liar,nacional,17.5
187 Purple Drank (50 g),tabaco-liar,nacional,4.55
187 Red Light District (200 g),tabaco-liar,nacional,17.5
187 Red Light District (50 g),tabaco-liar,nacional,4.55
187 Skittlez (200 g),tabaco-liar,nacional,17.5
187 Skittlez (50 g),tabaco-liar,nacional,4.55
187 Sparkling Izet (200 g),tabaco-liar,nacional,17.5
187 Sparkling Izet (50 g),tabaco-liar,nacional,4.55
187 Sparkling Peaz (200 g),tabaco-liar,nacional,17.5
187 Sparkling Peaz (50 g),tabaco-liar,nacional,4.55
187 Sweem Cactus (200 g),tabaco-liar,nacional,17.5
187 Sweem Cactus (50 g),tabaco-liar,nacional,4.55
187 Wallynelom (200 g),tabaco-liar,nacional,17.5
187 Wallynelom (50 g),tabaco-liar,nacional,4.55
187 Women To Go (200 g),tabaco-liar,nacional,17.5
187 Women To Go (50 g),tabaco-liar,nacional,4.55
187 Zafari (200 g),tabaco-liar,nacional,17.5
187 Zafari (50 g),tabaco-liar,nacional,4.55
3 REYNAS Belicoso 6x54 (20),cigarrillos,nacional,6.2
3 REYNAS Robusto 5x50 (20),cigarrillos,nacional,5.8
3 REYNAS Toro Gordo 6x60 (20),cigarrillos,nacional,6.85
3 TERCIOS Gordo (20),cigarrillos,nacional,3.95
3 TERCIOS Gordo 6x58 (20),cigarrillos,nacional,3.95
3 TERCIOS Robusto (20),cigarrillos,nacional,3.6
3 TERCIOS Robusto 5 1/4x54 (20),cigarrillos,nacional,3.6
3 TERCIOS Short 4x50 (20),cigarrillos,nacional,2.95
3 TERCIOS Short M (20),cigarrillos,nacional,2.95
5 O'clock Virginia,otros,nacional,4
A. TURRENT Churchill,otros,nacional,5.8
A. TURRENT Modestos,otros,nacional,3.55
A. TURRENT Robusto,otros,nacional,3.95
A. TURRENT Romances,otros,nacional,4.5
A.CROP Claro Gordo (25),cigarrillos,nacional,1.95
A.CROP Claro Gordo Mazo (10),cigarrillos,nacional,1.7
A.CROP Claro Robusto (25),cigarrillos,nacional,1.6
A.CROP Claro Robusto Mazo (10),cigarrillos,nacional,1.4
A.CROP Claro Toro (25),cigarrillos,nacional,1.7
A.CROP Claro Toro Mazo (10),cigarrillos,nacional,1.5
A.FLORES A. Flores GR Half Corona Corojo M(20),cigarrillos,nacional,4.15
A.FLORES A. Flores GR Half Corona Desflorado M(20),cigarrillos,nacional,4.15
A.FLORES A. Flores GR Half Corona Maduro M(20),cigarrillos,nacional,4.15
A.FLORES A. Flores GR Half Corona Sungrown M(20),cigarrillos,nacional,4.15
A.FLORES A. Flores Half Corona-Capa Madura Latas M (25),cigarrillos,nacional,4.3
A.FLORES A. Flores Half Corona-Capa Madura Latas M (25) CM,cigarrillos,nacional,3.25
A.FLORES A.Flores El Vinyet BF52 Belicoso Fino (10),cigarrillos,nacional,9.5
A.FLORES A.Flores El Vinyet RC52 Robusto Clasico (10),cigarrillos,nacional,8.5
A.FLORES A.Flores El Vinyet WC58 Wide Churchill (10),cigarrillos,nacional,10.95
A.FLORES A.Flores Gran Reserva Connecticut Valley Reserve Robusto C (10),cigarrillos,nacional,12.95
A.FLORES A.Flores Gran Reserva Corojo Puritos Latas (30),cigarrillos,nacional,3.25
A.FLORES A.Flores Gran Reserva Desflorado Puritos Latas (30),cigarrillos,nacional,3.5
A.FLORES A.Flores Gran Reserva Maduro Puritos Latas (30),cigarrillos,nacional,3.2
A.FLORES A.Flores Gran Reserva Sungrown Puritos Latas (30),cigarrillos,nacional,3.5
A.FLORES EL SAMAN Robusto (20),cigarrillos,nacional,5.95
A.FLORES EL SAMAN Robusto M20 (20),cigarrillos,nacional,5.75
A.FLORES EL SAMAN Short Robusto (20),cigarrillos,nacional,5.8
A.FLORES EL SAMAN Short Robusto M20 (20),cigarrillos,nacional,5.6
A.FLORES EL SAMAN Short Toro (20),cigarrillos,nacional,6.75
A.FLORES EL SAMAN Short Toro M20 (20),cigarrillos,nacional,6.5
A.FLORES EL SAMAN Torazo (20),cigarrillos,nacional,6.95
A.FLORES EL SAMAN Torazo M20 (20),cigarrillos,nacional,6.75
A.FLORES EL TROVADOR Gran Toro (24),cigarrillos,nacional,6.7
A.FLORES EL TROVADOR Maduro Petit Belicoso (24),cigarrillos,nacional,5.5
A.FLORES EL TROVADOR Maduro Robusto (24),cigarrillos,nacional,5.9
A.FLORES EL TROVADOR Petit Belicoso (24),cigarrillos,nacional,5.5
A.FLORES EL TROVADOR Robusto (24),cigarrillos,nacional,5.9
A.FLORES Flores y Rodríguez 10th Anniversary Millefleurs Serva Corona C (24),cigarrillos,nacional,5.95
A.FLORES Flores y Rodriguez 18th Anniversary Gran Toro C (24),cigarrillos,nacional,12.95
A.FLORES FLORES Y RODRIGUEZ CONNECTICUT VALLEY RESERVE Fat Corona (24),cigarrillos,nacional,6.95
A.FLORES FLORES Y RODRIGUEZ CONNECTICUT VALLEY RESERVE Gran Toro (24),cigarrillos,nacional,7.95
A.FLORES FLORES Y RODRIGUEZ Connecticut Valley Reserve Robusto Jarra (el envase de 19),otros,nacional,151.05
A.FLORES Gran Reserva Grand Toro (10),cigarrillos,nacional,12
A.FLORES Gran Reserva Half Corona-Capa Corojo caja (50),cigarrillos,nacional,3.6
A.FLORES Gran Reserva Half Corona-Capa Corojo latas (25),cigarrillos,nacional,4.3
A.FLORES Gran Reserva Half Corona-Capa Corojo latas (25) CM,cigarrillos,nacional,3.25
A.FLORES Gran Reserva Half Corona-Capa Sungrown caja (50),cigarrillos,nacional,3.6
A.FLORES Gran Reserva Half Corona-Capa Sungrown latas (25),cigarrillos,nacional,4.3
A.FLORES Gran Reserva Half Corona-Capa Sungrown latas (25) CM,cigarrillos,nacional,3.25
A.FLORES Gran Reserva Robusto (10),cigarrillos,nacional,9.9
A.FLORES Serie Privada Ed. Esp. Capa Habano SP54 6x54 Box Press (24),cigarrillos,nacional,10.95
A.FLORES Serie Privada Ed. Esp. Maduro SP52 5x52 Box Press (24),cigarrillos,nacional,9.95
Absolutely Especial Life's a Gamble liar lata Volumen (48 g),tabaco-liar,nacional,7.95
Absolutely Special Life is a Gamble (50 g),tabaco-liar,nacional,6.3
Absolutely Special Life is a Gamble Wide Cut (200 g),tabaco-liar,nacional,30
Absolutely Special Life is a Gamble Wide Cut (90 g),tabaco-liar,nacional,13.75
Absolutely Special Life is a Gample (48 g),tabaco-liar,nacional,7.75
Adalya Adalya Power (50 g),tabaco-liar,nacional,3.85
Adalya Adalya Power (50 g) CM,tabaco-liar,nacional,2.2
Adalya AppGrade (50 g),tabaco-liar,nacional,3.85
Adalya AppGrade (50 g) CM,tabaco-liar,nacional,2.2
Adalya Bagdadi (50 g),tabaco-liar,nacional,3.85
Adalya Bagdadi (50 g) CM,tabaco-liar,nacional,2.2
Adalya Berlin Nights (1000 g),tabaco-liar,nacional,65
Adalya Berlin Nights (1000 g) CM,tabaco-liar,nacional,33
Adalya Berlin Nights (50 g),tabaco-liar,nacional,3.85
Adalya Berlin Nights (50 g) CM,tabaco-liar,nacional,2.2
Adalya Berlin Nights (990 g),tabaco-liar,nacional,65
Adalya Berlin Nights (990 g) CM,tabaco-liar,nacional,33
Adalya Billionaire (50 g),tabaco-liar,nacional,3.85
Adalya Billionaire (50 g) CM,tabaco-liar,nacional,2.2
Adalya Black Cane Mnt (50 g),tabaco-liar,nacional,3.85
Adalya Black Cane Mnt (50 g) CM,tabaco-liar,nacional,2.2
Adalya Black Dragon (50 g),tabaco-liar,nacional,3.3
Adalya Black Dragon (50 g) CM,tabaco-liar,nacional,2.1
Adalya Black Horchachi (50 g),tabaco-liar,nacional,3.3
Adalya Black Horchachi (50 g) CM,tabaco-liar,nacional,2.1
Adalya Black Lem Bry (50 g),tabaco-liar,nacional,3.85
Adalya Black Lem Bry (50 g) CM,tabaco-liar,nacional,2.2
Adalya Black Pych (50 g),tabaco-liar,nacional,3.85
Adalya Black Pych (50 g) CM,tabaco-liar,nacional,2.2
Adalya Black Voodoo (50 g),tabaco-liar,nacional,3.3
Adalya Black Voodoo (50 g) CM,tabaco-liar,nacional,2.1
Adalya Blue Dragan (50 g),tabaco-liar,nacional,3.85
Adalya Blue Dragan (50 g) CM,tabaco-liar,nacional,2.2
Adalya Blue I´ss (200 g),tabaco-liar,nacional,14
Adalya Blue I´ss (200 g) CM,tabaco-liar,nacional,8
Adalya Blue I'ss (1000 g),tabaco-liar,nacional,65
Adalya Blue I'ss (1000 g) CM,tabaco-liar,nacional,33
Adalya Blue I'ss (50 g),tabaco-liar,nacional,3.85
Adalya Blue I'ss (50 g) CM,tabaco-liar,nacional,2.2
Adalya Blue I'ss (990 g),tabaco-liar,nacional,65
Adalya Blue I'ss (990 g) CM,tabaco-liar,nacional,33
Adalya Blue Lych (50 g),tabaco-liar,nacional,3.85
Adalya Blue Lych (50 g) CM,tabaco-liar,nacional,2.2
Adalya Blue Yellow (200 g),tabaco-liar,nacional,14
Adalya Blue Yellow (200 g) CM,tabaco-liar,nacional,8
Adalya Blue Yellow (50 g),tabaco-liar,nacional,3.85
Adalya Blue Yellow (50 g) CM,tabaco-liar,nacional,2.2
Adalya Chwng Kizz (1000 g),tabaco-liar,nacional,54.95
Adalya Chwng Kizz (1000 g) CM,tabaco-liar,nacional,31.95
Adalya Chwng Waterloo (50 g),tabaco-liar,nacional,3.85
Adalya Chwng Waterloo (50 g) CM,tabaco-liar,nacional,2.2
Adalya Chwng Wood Kizz (1000 g),tabaco-liar,nacional,54.95
Adalya Chwng Wood Kizz (1000 g) CM,tabaco-liar,nacional,31.95
Adalya Chwng Wood Kizz (200 g),tabaco-liar,nacional,14
Adalya Chwng Wood Kizz (200 g) CM,tabaco-liar,nacional,8
Adalya Chwng Wood Kizz (50 g),tabaco-liar,nacional,3.85
Adalya Chwng Wood Kizz (50 g) CM,tabaco-liar,nacional,2.2
Adalya Cindy's (50 g),tabaco-liar,nacional,3.85
Adalya Cindy's (50 g) CM,tabaco-liar,nacional,2.2
Adalya Desperado (50 g),tabaco-liar,nacional,3.85
Adalya Desperado (50 g) CM,tabaco-liar,nacional,2.2
Adalya Dragan Code (50 g),tabaco-liar,nacional,3.85
Adalya Dragan Code (50 g) CM,tabaco-liar,nacional,2.2
Adalya Dulcinea (50 g),tabaco-liar,nacional,3.85
Adalya Dulcinea (50 g) CM,tabaco-liar,nacional,2.2
Adalya Eskimo Leon  (50 g),tabaco-liar,nacional,3.85
Adalya Eskimo Leon  (50 g) CM,tabaco-liar,nacional,2.2
Adalya Esmeralda (50 g),tabaco-liar,nacional,3.85
Adalya Esmeralda (50 g) CM,tabaco-liar,nacional,2.2
Adalya Exotic Rush (50 g),tabaco-liar,nacional,3.85
Adalya Exotic Rush (50 g) CM,tabaco-liar,nacional,2.2
Adalya Gipsy Kings (200 g),tabaco-liar,nacional,14
Adalya Gipsy Kings (200 g) CM,tabaco-liar,nacional,8
Adalya Gipsy Kings (50 g),tabaco-liar,nacional,3.85
Adalya Gipsy Kings (50 g) CM,tabaco-liar,nacional,2.2
Adalya Green Leon Kizz (50 g),tabaco-liar,nacional,3.85
Adalya Green Leon Kizz (50 g) CM,tabaco-liar,nacional,2.2
Adalya Hawaii (1000 g),tabaco-liar,nacional,65
Adalya Hawaii (1000 g) CM,tabaco-liar,nacional,33
Adalya Hawaii (200 g),tabaco-liar,nacional,14
Adalya Hawaii (200 g) CM,tabaco-liar,nacional,8
Adalya Hawaii (50 g),tabaco-liar,nacional,3.85
Adalya Hawaii (50 g) CM,tabaco-liar,nacional,2.2
Adalya Hawaii (990 g),tabaco-liar,nacional,65
Adalya Hawaii (990 g) CM,tabaco-liar,nacional,33
Adalya I´ss Kaktu (50 g),tabaco-liar,nacional,3.85
Adalya I´ss Kaktu (50 g) CM,tabaco-liar,nacional,2.2
Adalya I'ss (50 g),tabaco-liar,nacional,3.85
Adalya I'ss (50 g) CM,tabaco-liar,nacional,2.2
Adalya I'ss Boni (50 g),tabaco-liar,nacional,3.85
Adalya I'ss Boni (50 g) CM,tabaco-liar,nacional,2.2
Adalya I'ss Lie On The Rocks (1000 g),tabaco-liar,nacional,65
Adalya I'ss Lie On The Rocks (1000 g) CM,tabaco-liar,nacional,33
Adalya I'ss Lie on the Rocks (50 g),tabaco-liar,nacional,3.85
Adalya I'ss Lie on the Rocks (50 g) CM,tabaco-liar,nacional,2.2
Adalya I'ss Lie On The Rocks (990 g),tabaco-liar,nacional,65
Adalya I'ss Lie On The Rocks (990 g) CM,tabaco-liar,nacional,33
Adalya Jungle Jungle (50 g),tabaco-liar,nacional,3.85
Adalya Jungle Jungle (50 g) CM,tabaco-liar,nacional,2.2
Adalya Kizz (1000 g),tabaco-liar,nacional,65
Adalya Kizz (1000 g) CM,tabaco-liar,nacional,33
Adalya Kizz (200 g),tabaco-liar,nacional,14
Adalya Kizz (200 g) CM,tabaco-liar,nacional,6.95
Adalya Kizz (50 g),tabaco-liar,nacional,3.85
Adalya Kizz (50 g) CM,tabaco-liar,nacional,2.2
Adalya Kizz 2.0 (990 g),tabaco-liar,nacional,65
Adalya Kizz 2.0 (990 g) CM,tabaco-liar,nacional,33
Adalya Krosty App (50 g),tabaco-liar,nacional,3.3
Adalya Krosty App (50 g) CM,tabaco-liar,nacional,2.1
Adalya L. Kill (1000 g),tabaco-liar,nacional,65
Adalya L. Kill (1000 g) CM,tabaco-liar,nacional,33
Adalya L. Kill (200 g),tabaco-liar,nacional,14
Adalya L. Kill (200 g) CM,tabaco-liar,nacional,8
Adalya L. Kill (50 g),tabaco-liar,nacional,3.85
Adalya L. Kill (50 g) CM,tabaco-liar,nacional,2.2
Adalya L. Kill 2.0 (990 g),tabaco-liar,nacional,65
Adalya L. Kill 2.0 (990 g) CM,tabaco-liar,nacional,33
Adalya La Bonita (50 g),tabaco-liar,nacional,3.85
Adalya La Bonita (50 g) CM,tabaco-liar,nacional,2.2
Adalya Leon Pi (50 g),tabaco-liar,nacional,3.85
Adalya Leon Pi (50 g) CM,tabaco-liar,nacional,2.2
Adalya Love66 (1000 g),tabaco-liar,nacional,65
Adalya Love66 (1000 g) CM,tabaco-liar,nacional,33
Adalya Love66 (200 g),tabaco-liar,nacional,14
Adalya Love66 (200 g) CM,tabaco-liar,nacional,8
Adalya Love66 (50 g),tabaco-liar,nacional,3.85
Adalya Love66 (50 g) CM,tabaco-liar,nacional,2.2
Adalya Love66 (990 g),tabaco-liar,nacional,65
Adalya Love66 (990 g) CM,tabaco-liar,nacional,33
Adalya M.M. (50 g),tabaco-liar,nacional,3.3
Adalya M.M. (50 g) CM,tabaco-liar,nacional,2.1
Adalya Manko Tanko (50 g),tabaco-liar,nacional,3.85
Adalya Manko Tanko (50 g) CM,tabaco-liar,nacional,2.2
Adalya Manko Tanko I'ss (1000 g),tabaco-liar,nacional,65
Adalya Manko Tanko I'ss (1000 g) CM,tabaco-liar,nacional,33
Adalya Manko Tanko I'ss (200 g),tabaco-liar,nacional,14
Adalya Manko Tanko I'ss (200 g) CM,tabaco-liar,nacional,8
Adalya Manko Tanko I'ss (50 g),tabaco-liar,nacional,3.85
Adalya Manko Tanko I'ss (50 g) CM,tabaco-liar,nacional,2.2
Adalya Manko Tanko I'ss (990 g),tabaco-liar,nacional,65
Adalya Manko Tanko I'ss (990 g) CM,tabaco-liar,nacional,33
Adalya Moon Dream (200 g),tabaco-liar,nacional,14
Adalya Moon Dream (200 g) CM,tabaco-liar,nacional,8
Adalya Moon Dream (50 g),tabaco-liar,nacional,3.85
Adalya Moon Dream (50 g) CM,tabaco-liar,nacional,2.2
Adalya Pair Kizz (50 g),tabaco-liar,nacional,3.85
Adalya Pair Kizz (50 g) CM,tabaco-liar,nacional,2.2
Adalya Paradiso I'ss (50 g),tabaco-liar,nacional,3.85
Adalya Paradiso I'ss (50 g) CM,tabaco-liar,nacional,2.2
Adalya Passion Kizz (50 g),tabaco-liar,nacional,3.85
Adalya Passion Kizz (50 g) CM,tabaco-liar,nacional,2.2
Adalya Punkman (50 g),tabaco-liar,nacional,3.85
Adalya Punkman (50 g) CM,tabaco-liar,nacional,2.2
Adalya Pych Blue Kizz (50 g),tabaco-liar,nacional,3.85
Adalya Pych Blue Kizz (50 g) CM,tabaco-liar,nacional,2.2
Adalya Red Alert I'ss (1000 g),tabaco-liar,nacional,54.95
Adalya Red Alert I'ss (1000 g) CM,tabaco-liar,nacional,31.95
Adalya Red Alert l'ss (50 g),tabaco-liar,nacional,3.85
Adalya Red Alert l'ss (50 g) CM,tabaco-liar,nacional,2.2
Adalya Rhapsody (50 g),tabaco-liar,nacional,3.85
Adalya Rhapsody (50 g) CM,tabaco-liar,nacional,2.2
Adalya Skyfall (50 g),tabaco-liar,nacional,3.85
Adalya Skyfall (50 g) CM,tabaco-liar,nacional,2.2
Adalya Sweess Boom (1000 g),tabaco-liar,nacional,65
Adalya Sweess Boom (1000 g) CM,tabaco-liar,nacional,33
Adalya Sweess Boom (200 g),tabaco-liar,nacional,14
Adalya Sweess Boom (200 g) CM,tabaco-liar,nacional,8
Adalya Sweess Boom (50 g),tabaco-liar,nacional,3.85
Adalya Sweess Boom (50 g) CM,tabaco-liar,nacional,2.2
Adalya Sweess Boom (990 g),tabaco-liar,nacional,65
Adalya Sweess Boom (990 g) CM,tabaco-liar,nacional,33
Adalya Three Angels (50 g),tabaco-liar,nacional,3.85
Adalya Three Angels (50 g) CM,tabaco-liar,nacional,2.2
Adalya Tony´s Destiny (50 g),tabaco-liar,nacional,3.85
Adalya Tony´s Destiny (50 g) CM,tabaco-liar,nacional,2.2
Adalya Twist Pi (50 g),tabaco-liar,nacional,3.3
Adalya Twist Pi (50 g) CM,tabaco-liar,nacional,2.1
Adalya Two App (50 g),tabaco-liar,nacional,3.85
Adalya Two App (50 g) CM,tabaco-liar,nacional,2.2
Adalya Two Yellow I´ss (50 g),tabaco-liar,nacional,3.85
Adalya Two Yellow I´ss (50 g) CM,tabaco-liar,nacional,2.2
Adalya Tynky Wynky (200 g),tabaco-liar,nacional,14
Adalya Tynky Wynky (200 g) CM,tabaco-liar,nacional,8
Adalya Tynky Wynky (50 g),tabaco-liar,nacional,3.85
Adalya Tynky Wynky (50 g) CM,tabaco-liar,nacional,2.2
Adalya Van (50 g),tabaco-liar,nacional,3.85
Adalya Van (50 g) CM,tabaco-liar,nacional,2.2
Adalya Waterlon Kizz (50 g),tabaco-liar,nacional,3.85
Adalya Waterlon Kizz (50 g) CM,tabaco-liar,nacional,2.2
Adalya Waterloo Kizz (200g),tabaco-liar,nacional,14
Adalya Waterloo Kizz (200g) CM,tabaco-liar,nacional,8
ADRIAN MAGNUS Adrian Magnus 1808 Belicoso (15),cigarrillos,nacional,11
ADRIAN MAGNUS Adrian Magnus 1808 Belicoso (3),otros,nacional,11
ADRIAN MAGNUS Adrian Magnus 1808 Robusto (24),cigarrillos,nacional,9.35
ADRIAN MAGNUS Adrian Magnus 1808 Toro (15),cigarrillos,nacional,9.95
ADRIAN MAGNUS Adrian Magnus 1808 Toro (24),cigarrillos,nacional,9.95
ADRIAN MAGNUS Adrian Magnus 1808 Toro (3),otros,nacional,9.95
ADRIAN MAGNUS Adrian Magnus Black-Black Toro (24),cigarrillos,nacional,19
ADRIAN MAGNUS Adrian Magnus Black-Black Toro (3),otros,nacional,19
ADRIAN MAGNUS Adrian Magnus El Rey Toro (10),cigarrillos,nacional,29.5
ADRIAN MAGNUS Adrian Magnus Geneva Connoisseur Collection Toro (El envase de 7),otros,nacional,70
ADRIAN MAGNUS Adrian Magnus Geneva Original Light Belicoso (10),cigarrillos,nacional,6.5
ADRIAN MAGNUS Adrian Magnus Geneva Original Light Robusto (10),cigarrillos,nacional,5.95
ADRIAN MAGNUS Adrian Magnus Geneva Original Light Toro (10),cigarrillos,nacional,6.3
ADRIAN MAGNUS Adrian Magnus Geneva Original Medium Robusto (10),cigarrillos,nacional,6.1
ADRIAN MAGNUS Adrian Magnus Geneva Original Strong Robusto (10),cigarrillos,nacional,6.3
ADRIAN MAGNUS Adrian Magnus Geneva XSO Black Robusto (10),cigarrillos,nacional,8.1
ADRIAN MAGNUS Adrian Magnus Geneva XSO Blue Belicosos (10),cigarrillos,nacional,8.3
ADRIAN MAGNUS Adrian Magnus Geneva XSO Blue Robusto (10),cigarrillos,nacional,7.9
ADRIAN MAGNUS Adrian Magnus Geneva XSO Blue Toro (10),cigarrillos,nacional,8.5
ADRIAN MAGNUS Adrian Magnus Geneva XSO Green Robusto (10),cigarrillos,nacional,7.5
ADRIAN MAGNUS Adrian Magnus Imperials Robusto (15),cigarrillos,nacional,13
ADRIAN MAGNUS Adrian Magnus Imperials Robusto (20),cigarrillos,nacional,13
ADRIAN MAGNUS Adrian Magnus Imperials Robusto (3),otros,nacional,13
ADRIAN MAGNUS Adrian Magnus Imperials Wide Churchill (20),cigarrillos,nacional,15
ADRIAN MAGNUS Adrian Magnus Leyenda Toro (10),cigarrillos,nacional,32
ADRIAN MAGNUS Adrian Magnus Millennium Gran Toro (20),cigarrillos,nacional,12.5
ADRIAN MAGNUS Adrian Magnus Millennium Robustos (15),cigarrillos,nacional,9.95
ADRIAN MAGNUS Adrian Magnus Millennium Robustos (20),cigarrillos,nacional,9.95
ADRIAN MAGNUS Adrian Magnus Millennium Robustos (3),otros,nacional,9.95
ADRIAN MAGNUS Adrian Magnus Royal Toro (15),cigarrillos,nacional,29.5
ADRIAN MAGNUS Adrian Magnus Royal Toro (3),otros,nacional,29.5
ADRIAN MAGNUS Adrian Magnus Royal Toro E. L. (24),cigarrillos,nacional,29.5
ADRIAN MAGNUS Adrian Magnus Supremos Robustos (20),cigarrillos,nacional,12
ADRIAN MAGNUS Adrian Magnus Supremos Toro (15),cigarrillos,nacional,13
ADRIAN MAGNUS Adrian Magnus Supremos Toro (20),cigarrillos,nacional,13
ADRIAN MAGNUS Adrian Magnus Supremos Toro (3),otros,nacional,13
ADRIAN MAGNUS Adrian Magnus XO Cognac Toro (15),cigarrillos,nacional,24.5
ADRIAN MAGNUS Adrian Magnus XO Cognac Toro (24),cigarrillos,nacional,24.5
ADRIAN MAGNUS Adrian Magnus XO Cognac Toro (3),otros,nacional,24.5
Afendi Amorita (200 g),tabaco-liar,nacional,17.6
Afendi Amorita (50 g),tabaco-liar,nacional,4.85
Afendi Amorita (950 g),tabaco-liar,nacional,75
Afendi Applionnaire (200 g),tabaco-liar,nacional,17.6
Afendi Applionnaire (50 g),tabaco-liar,nacional,4.85
Afendi Applionnaire (950 g),tabaco-liar,nacional,75
Afendi Bae (200 g),tabaco-liar,nacional,17.6
Afendi Bae (50 g),tabaco-liar,nacional,4.85
Afendi Bae (950 g),tabaco-liar,nacional,75
Afendi Bloo Ghost (200 g),tabaco-liar,nacional,17.6
Afendi Bloo Ghost (50 g),tabaco-liar,nacional,4.85
Afendi Bloo Ghost (950 g),tabaco-liar,nacional,75
Afendi Habibty (200 g),tabaco-liar,nacional,17.6
Afendi Habibty (50 g),tabaco-liar,nacional,4.85
Afendi Habibty (950 g),tabaco-liar,nacional,75
Afendi Hermosa (200 g),tabaco-liar,nacional,17.6
Afendi Hermosa (50 g),tabaco-liar,nacional,4.85
Afendi Hermosa (950 g),tabaco-liar,nacional,75
Afendi Lover Boy (200 g),tabaco-liar,nacional,17.6
Afendi Lover Boy (50 g),tabaco-liar,nacional,4.85
Afendi Lover Boy (950 g),tabaco-liar,nacional,75
Afendi Marrakesh Breeze (200 g),tabaco-liar,nacional,17.6
Afendi Marrakesh Breeze (50 g),tabaco-liar,nacional,4.85
Afendi Marrakesh Breeze (950 g),tabaco-liar,nacional,75
Afendi Sicilian Breeze (200 g),tabaco-liar,nacional,17.6
Afendi Sicilian Breeze (50 g),tabaco-liar,nacional,4.85
Afendi Sicilian Breeze (950 g),tabaco-liar,nacional,75
Afendi Sinful (200 g),tabaco-liar,nacional,17.6
Afendi Sinful (50 g),tabaco-liar,nacional,4.85
Afendi Sinful (950 g),tabaco-liar,nacional,75
Afendi Tango Splash (200 g),tabaco-liar,nacional,17.6
Afendi Tango Splash (50 g),tabaco-liar,nacional,4.85
Afendi Tango Splash (950 g),tabaco-liar,nacional,75
Afendi The Hilands (200 g),tabaco-liar,nacional,17.6
Afendi The Hilands (50 g),tabaco-liar,nacional,4.85
Afendi The Hilands (950 g),tabaco-liar,nacional,75
Afendi Tuscany Breeze (200 g),tabaco-liar,nacional,17.6
Afendi Tuscany Breeze (50 g),tabaco-liar,nacional,4.85
Afendi Tuscany Breeze (950 g),tabaco-liar,nacional,75
Afzal Hookah Tobacco 1001 Nights (200 g),tabaco-liar,nacional,13.9
Afzal Hookah Tobacco Bombay Nights (200 g),tabaco-liar,nacional,13.9
Afzal Hookah Tobacco Ecstasy (200 g),tabaco-liar,nacional,13.9
Afzal Hookah Tobacco ICY LT (200 g),tabaco-liar,nacional,13.9
Afzal Hookah Tobacco Tropical Explosion (200 g),tabaco-liar,nacional,13.9
Afzal Hookah Tobacco White Beach (200 g),tabaco-liar,nacional,13.9
